dt,open,high,low,close,volume
2018-05-20 00:00:00+00:00,3.618e-05,3.618e-05,3.618e-05,3.618e-05,0.0
2018-05-20 00:01:00+00:00,3.618e-05,3.618e-05,3.618e-05,3.618e-05,0.0
2018-05-20 00:02:00+00:00,3.618e-05,3.618e-05,3.618e-05,3.618e-05,0.0
2018-05-20 00:03:00+00:00,3.618e-05,3.618e-05,3.618e-05,3.618e-05,0.0
2018-05-20 00:04:00+00:00,3.618e-05,3.618e-05,3.618e-05,3.618e-05,0.0
2018-05-20 00:05:00+00:00,3.618e-05,3.618e-05,3.618e-05,3.618e-05,0.0
2018-05-20 00:06:00+00:00,3.618e-05,3.618e-05,3.618e-05,3.618e-05,0.0
2018-05-20 00:07:00+00:00,3.618e-05,3.618e-05,3.618e-05,3.618e-05,0.0
2018-05-20 00:08:00+00:00,3.618e-05,3.618e-05,3.618e-05,3.618e-05,0.0
2018-05-20 00:09:00+00:00,3.618e-05,3.618e-05,3.618e-05,3.618e-05,0.0
2018-05-20 00:10:00+00:00,3.618e-05,3.618e-05,3.618e-05,3.618e-05,0.0
2018-05-20 00:11:00+00:00,3.618e-05,3.618e-05,3.618e-05,3.618e-05,0.0
2018-05-20 00:12:00+00:00,3.618e-05,3.618e-05,3.618e-05,3.618e-05,0.0
2018-05-20 00:13:00+00:00,3.618e-05,3.618e-05,3.618e-05,3.618e-05,0.0
2018-05-20 00:14:00+00:00,3.618e-05,3.618e-05,3.618e-05,3.618e-05,0.0
2018-05-20 00:15:00+00:00,3.618e-05,3.618e-05,3.618e-05,3.618e-05,0.0
2018-05-20 00:16:00+00:00,3.618e-05,3.618e-05,3.618e-05,3.618e-05,0.0
2018-05-20 00:17:00+00:00,3.618e-05,3.618e-05,3.618e-05,3.618e-05,0.0
2018-05-20 00:18:00+00:00,3.618e-05,3.618e-05,3.618e-05,3.618e-05,0.0
2018-05-20 00:19:00+00:00,3.618e-05,3.618e-05,3.618e-05,3.618e-05,0.0
2018-05-20 00:20:00+00:00,3.618e-05,3.618e-05,3.618e-05,3.618e-05,0.0
2018-05-20 00:21:00+00:00,3.618e-05,3.618e-05,3.618e-05,3.618e-05,0.0
2018-05-20 00:22:00+00:00,3.618e-05,3.618e-05,3.618e-05,3.618e-05,0.0
2018-05-20 00:23:00+00:00,3.618e-05,3.618e-05,3.618e-05,3.618e-05,0.0
2018-05-20 00:24:00+00:00,3.618e-05,3.618e-05,3.618e-05,3.618e-05,0.0
2018-05-20 00:25:00+00:00,3.618e-05,3.618e-05,3.618e-05,3.618e-05,0.0
2018-05-20 00:26:00+00:00,3.618e-05,3.618e-05,3.618e-05,3.618e-05,0.0
2018-05-20 00:27:00+00:00,3.618e-05,3.618e-05,3.618e-05,3.618e-05,0.0
2018-05-20 00:28:00+00:00,3.618e-05,3.618e-05,3.618e-05,3.618e-05,0.0
2018-05-20 00:29:00+00:00,3.618e-05,3.618e-05,3.618e-05,3.618e-05,0.0
2018-05-20 00:30:00+00:00,3.583e-05,3.583e-05,3.583e-05,3.583e-05,0.00010108
2018-05-20 00:31:00+00:00,3.583e-05,3.583e-05,3.583e-05,3.583e-05,0.0
2018-05-20 00:32:00+00:00,3.583e-05,3.583e-05,3.583e-05,3.583e-05,0.0
2018-05-20 00:33:00+00:00,3.583e-05,3.583e-05,3.583e-05,3.583e-05,0.0
2018-05-20 00:34:00+00:00,3.583e-05,3.583e-05,3.583e-05,3.583e-05,0.0
2018-05-20 00:35:00+00:00,3.583e-05,3.583e-05,3.583e-05,3.583e-05,0.0
2018-05-20 00:36:00+00:00,3.583e-05,3.583e-05,3.583e-05,3.583e-05,0.0
2018-05-20 00:37:00+00:00,3.583e-05,3.583e-05,3.583e-05,3.583e-05,0.0
2018-05-20 00:38:00+00:00,3.583e-05,3.583e-05,3.583e-05,3.583e-05,0.0
2018-05-20 00:39:00+00:00,3.583e-05,3.583e-05,3.583e-05,3.583e-05,0.0
2018-05-20 00:40:00+00:00,3.583e-05,3.583e-05,3.583e-05,3.583e-05,0.0
2018-05-20 00:41:00+00:00,3.583e-05,3.583e-05,3.583e-05,3.583e-05,0.0
2018-05-20 00:42:00+00:00,3.583e-05,3.583e-05,3.583e-05,3.583e-05,0.0
2018-05-20 00:43:00+00:00,3.583e-05,3.583e-05,3.583e-05,3.583e-05,0.0
2018-05-20 00:44:00+00:00,3.583e-05,3.583e-05,3.583e-05,3.583e-05,0.0
2018-05-20 00:45:00+00:00,3.583e-05,3.583e-05,3.583e-05,3.583e-05,0.0
2018-05-20 00:46:00+00:00,3.617e-05,3.617e-05,3.617e-05,3.617e-05,0.00010193000000000001
2018-05-20 00:47:00+00:00,3.617e-05,3.617e-05,3.617e-05,3.617e-05,0.00026394
2018-05-20 00:48:00+00:00,3.617e-05,3.617e-05,3.617e-05,3.617e-05,0.0
2018-05-20 00:49:00+00:00,3.617e-05,3.617e-05,3.617e-05,3.617e-05,0.0
2018-05-20 00:50:00+00:00,3.617e-05,3.617e-05,3.617e-05,3.617e-05,0.0
2018-05-20 00:51:00+00:00,3.617e-05,3.617e-05,3.617e-05,3.617e-05,0.0
2018-05-20 00:52:00+00:00,3.577e-05,3.577e-05,3.577e-05,3.577e-05,0.00687338
2018-05-20 00:53:00+00:00,3.577e-05,3.577e-05,3.577e-05,3.577e-05,0.0
2018-05-20 00:54:00+00:00,3.577e-05,3.577e-05,3.577e-05,3.577e-05,0.0
2018-05-20 00:55:00+00:00,3.577e-05,3.577e-05,3.577e-05,3.577e-05,0.0
2018-05-20 00:56:00+00:00,3.577e-05,3.577e-05,3.577e-05,3.577e-05,0.0
2018-05-20 00:57:00+00:00,3.577e-05,3.577e-05,3.577e-05,3.577e-05,0.0
2018-05-20 00:58:00+00:00,3.577e-05,3.577e-05,3.577e-05,3.577e-05,0.0
2018-05-20 00:59:00+00:00,3.577e-05,3.577e-05,3.577e-05,3.577e-05,0.0
2018-05-20 01:00:00+00:00,3.621e-05,3.621e-05,3.621e-05,3.621e-05,0.00030058
